-0.003789	-0.003993	-0.003599	-0.004467	-0.067752	-0.018208	-0.025034	-0.068176	-0.026223	-0.055403	-0.027375	-0.015116	-0.082290	-0.027670	-0.010281	-0.076205
-0.008030	-0.008062	-0.007674	-0.008820	-0.136087	-0.035988	-0.050216	-0.136093	-0.021184	-0.010889	-0.007449	-0.008258	-0.111737	-0.047304	-0.019242	-0.139460
-0.007827	-0.007087	-0.008192	-0.008659	-0.137089	-0.035736	-0.050677	-0.136036	-0.021589	-0.009070	-0.008824	-0.008063	-0.112886	-0.046040	-0.020571	-0.139254
-0.007782	-0.008168	-0.007229	-0.008919	-0.135490	-0.036351	-0.050032	-0.136309	-0.021426	-0.009874	-0.007716	-0.007875	-0.112179	-0.046814	-0.019625	-0.139448
-0.007972	-0.007364	-0.008323	-0.008706	-0.137085	-0.035576	-0.050618	-0.135858	-0.021446	-0.010396	-0.008037	-0.008280	-0.112219	-0.046806	-0.019723	-0.139278
-0.007682	-0.007604	-0.007524	-0.008786	-0.136112	-0.036211	-0.050317	-0.136312	-0.021717	-0.008756	-0.008576	-0.007758	-0.112897	-0.046035	-0.020448	-0.139318
-0.008027	-0.008078	-0.007659	-0.008822	-0.136057	-0.035998	-0.050205	-0.136096	-0.021173	-0.010872	-0.007439	-0.008246	-0.111732	-0.047302	-0.019240	-0.139463
-0.007830	-0.007086	-0.008209	-0.008658	-0.137101	-0.035725	-0.050681	-0.136025	-0.021577	-0.009089	-0.008808	-0.008064	-0.112870	-0.046052	-0.020555	-0.139251
-0.007775	-0.008163	-0.007231	-0.008917	-0.135489	-0.036352	-0.050034	-0.136309	-0.021428	-0.009837	-0.007728	-0.007862	-0.112193	-0.046795	-0.019641	-0.139445
-0.007976	-0.007385	-0.008317	-0.008708	-0.137065	-0.035580	-0.050610	-0.135858	-0.021430	-0.010417	-0.008010	-0.008278	-0.112195	-0.046825	-0.019700	-0.139281
-0.007688	-0.007597	-0.007544	-0.008783	-0.136136	-0.036203	-0.050329	-0.136308	-0.021708	-0.008740	-0.008590	-0.007760	-0.112902	-0.046026	-0.020463	-0.139317
-0.008030	-0.008100	-0.007650	-0.008829	-0.136033	-0.036012	-0.050198	-0.136103	-0.021166	-0.010860	-0.007435	-0.008239	-0.111731	-0.047305	-0.019243	-0.139470
-0.007836	-0.007089	-0.008229	-0.008660	-0.137115	-0.035716	-0.050687	-0.136016	-0.021569	-0.009113	-0.008796	-0.008070	-0.112858	-0.046066	-0.020543	-0.139252
-0.007774	-0.008164	-0.007239	-0.008922	-0.135495	-0.036358	-0.050041	-0.136313	-0.021435	-0.009803	-0.007742	-0.007853	-0.112211	-0.046777	-0.019659	-0.139444
-0.007983	-0.007409	-0.008313	-0.008712	-0.137046	-0.035586	-0.050603	-0.135859	-0.021420	-0.010446	-0.007988	-0.008282	-0.112177	-0.046848	-0.019682	-0.139288
