0.0,-4273.184153221149,-4093.4537760560247,-5089.559267706784,-5091.213296796477,-82949.73766204568,-17057.689077578674,-57253.456980402116,-83638.14903952468,-30381.25102296484,-70859.83554838128,-55254.20519759717,-62655.203062916175,-90662.34119681612,-48295.45894807088,-16339.95221137431,-87343.50947660321,0.022,0.932,0.342,192.0,0.0,88.0,14.5,16.0,5.0,88.0,0.0,0.0,0.0,1679335235.5147688,0.0,1
2.0,-9579.309472955403,-8694.962703581179,-9969.235654978234,-10218.122329488078,-165357.28905883897,-34452.55422026566,-114169.93906139601,-167322.00739646048,-24029.84637377815,-9704.948628538685,-7937.28327003518,-8270.01133799688,-138272.0933284871,-48592.156003970624,-19103.611302806297,-150572.25830224255,0.022,0.932,0.342,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.514807,0.0,1
4.0,-8525.804701543415,-7756.547064369567,-10627.159253020198,-10068.61151082653,-166181.82256005082,-33121.68665190776,-114596.67856653674,-166577.2696229541,-24357.366485281764,-9108.246458559806,-8287.602160883209,-7967.1899041163815,-138600.64162023563,-47822.45133190767,-19364.612622810917,-150314.58739216177,0.022,0.932,0.342,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.5148375,0.0,1
6.0,-8989.804564691134,-8500.949561709114,-10026.679638228374,-10256.522626462296,-165559.1253112704,-34307.960785384275,-114313.45961254355,-167274.57699472632,-23842.315237798124,-9092.42142348545,-8009.032369736716,-8017.481329140822,-138649.8154580373,-47758.90532242123,-19604.580951283093,-150456.52096945298,0.022,0.932,0.342,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.5148654,0.0,1
8.0,-9237.551300233758,-8149.021345260304,-10301.449632817465,-10044.69514425935,-165835.50463146027,-33824.5819597938,-114388.87439833576,-167033.28991333127,-24316.66395862865,-9687.469564374635,-8143.969851013405,-8278.125021234158,-138207.0274003777,-48584.91403876711,-18975.111123932737,-150495.3683013163,0.02,0.9460000000000001,0.356,192.0,0.0,80.0,14.5,72.0,5.5,16.0,0.0,0.0,0.0,1679335235.5148969,0.0,1
10.0,-8357.585472772775,-7914.529194179678,-10430.30743960231,-10141.679363450929,-166084.1454367811,-33504.706144893906,-114582.01582217406,-166830.80546031066,-23980.78429469875,-8723.930564395258,-8283.73530909244,-7941.932432881884,-138774.31467465337,-47237.77440044575,-19790.92744480699,-150338.70492442907,0.02,0.9460000000000001,0.356,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.5149271,0.0,1
12.0,-9552.308565653393,-8677.57304639495,-9953.947061770805,-10209.427500894964,-165366.34151534337,-34439.612560226036,-114170.60961372968,-167307.3446520978,-24010.333300868668,-9658.792276238475,-7926.532080952178,-8244.642108040109,-138284.94558154888,-48540.724639978966,-19123.325541415878,-150558.02024102453,0.02,0.9460000000000001,0.356,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.51494,0.0,1
14.0,-8520.015599729491,-7743.381886885391,-10613.0553022689,-10054.641670541963,-166193.40076367866,-33112.097753536436,-114596.25388339208,-166567.6583728383,-24354.81838641386,-9095.237743286818,-8280.583713124242,-7956.349308055557,-138599.2111085905,-47809.55437535696,-19363.0703524435,-150305.26671472393,0.02,0.9460000000000001,0.356,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.514949,0.0,1
16.0,-8956.209892774808,-8468.58423573783,-10024.399760293933,-10241.256384999322,-165592.0270791086,-34272.0415320446,-114322.75793823696,-167255.2874392614,-23835.699121439353,-9054.758734078257,-8011.915744771451,-7999.689340554398,-138665.01464426692,-47709.30680147491,-19626.75388178276,-150442.4617221906,0.020999999999999998,0.92,0.33999999999999997,192.0,0.0,88.0,13.5,120.0,5.0,16.0,0.0,0.0,0.0,1679335235.514958,0.0,1
18.0,-9236.50076824436,-8133.889214264062,-10289.08911813368,-10035.620336010497,-165854.10128284708,-33814.63543351119,-114392.20480825959,-167032.50760227535,-24309.086717258302,-9663.217921640626,-8140.639441089564,-8266.815038539773,-138219.09734238355,-48560.10360242172,-18989.32683340631,-150487.6122459903,0.020999999999999998,0.92,0.33999999999999997,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679335235.5149667,0.0,1
